cage,number in cage,diet,date (start to end),food initial (g),food final (g),intake (total g),intake (total kcal),intake (kcal per day),intake (kcal per hour),discard,notes
2921,1,,8/6/19- 8/09/19,215.9,210.1,,,,,,
2920,3,,8/6/19- 8/09/19,204.3,175.6,,,,,,
2920,3,,8/09/19- 8/12/19,200.2,174.8,,,,,,
2921,1,,8/09/19- 8/12/19,210.1,202.4,,,,,,
2922,3,,8/09/19- 8/12/19,201.1,178.1,,,,,,
2920,3,,8/12/19- 8/14/19,218.8,200.7,,,,,,
2921,1,,8/12/19 - 8/14/19,219.6,213.7,,,,,,
2922,3,,08/12/19- 8/14/19,217.7,203.3,,,,,,
2920,3,,08/14/19- 8/16/19,200.7,185.1,,,,,,
2921,1,,08/14/19- 8/16/19,213.7,208.8,,,,,,
2922,3,,08/14/19- 8/16/19,203.3,190,,,,,,
2920,3,,8/16/19- 8/19/19,217.8,192.8,,,,,,
2921,1,,8/16/19-8/19/19,218.8,210.1,,,,,,
2922,3,,8/16/19- 8/19/19,218.7,195.3,,,,,,
7882,,,8/13/19-8/16/19,271.9,249.1,,,,,,
7883,,,8/13/19-8/16/19,261.7,246.1,,,,,,
7886,,,8/13/19-8/16/19,201.9,164.4,,,,,,
7889,,Chow,8/13/19- 8/20/19,428,361.8,,,,,,
7890,,Chow,8/13/19- 8/20/19,399,330.5,,,,,,
7906,,Chow,8/13/19- 8/20/19,381,238.9,,,,,,
7895,,Chow,8/13/19- 8/20/19,378,278.3,,,,,,
7907,,Chow,8/13/19- 8/20/19,383,299.8,,,,,,
7894,,Chow,8/13/19- 8/20/19,382,316.6,,,,,,
7889,,,8/20/19-8/23/19,200.1,190.8,,,,,,
7890,,,8/20/19-8/23/19,205.9,191,,,,,,
7906,,,8/20/19-8/21/19,241.8,227.9,,,,,,
7895,,,8/20/19-8/21/19,240.9,228.5,,,,,,
7907,,,8/20/19-8/21/19,241.5,232.8,,,,,,
7894,,,8/20/19-8/21/19,230,218.1,,,,,,
7882,,,8/16/19-8/19/19,270.5,246.7,,,,,,
7883,,,8/16/19-8/19/19,264.4,250.8,,,,,,
7886,,,8/16/19-8/19/19,216.2,178.7,,,,,,
7882,,,8/19/19-8/21/19,246.7,223.6,,,,,,
7883,,,8/19/19-8/21/19,250.8,238,,,,,,
7886,,,8/19/19-8/21/19,203.2,166.9,,,,,,
7882,,,8/21/19-8/23/19,269.7,260.6,,,,,,
7883,,,8/21/19-8/23/19,271.6,266.3,,,,,,
7886,,,8/21/19-8/23/19,201,181.9,,,,,,
7889,,,8/21/19-8/23/19,200,190.8,,,,,,
7890,,,8/21/19-8/23/19,200.2,191,,,,,,
7906,,,8/21/19-8/23/19,271.1,263.2,,,,,,
7907,,,8/21/19-8/23/19,264.7,259.9,,,,,,
7895,,,8/21/19-8/23/19,264.6,257.9,,,,,,
7894,,,8/21/19-8/23/19,222.9,213.3,,,,,,
7882,,,8/23/19-8/26/19,273.1,253.8,,,,,,
7883,,,8/23/19-8/26/19,263.6,252.5,,,,,,
7886,,,8/23/19-8/26/19,213.5,178.5,,,,,,
7889,,,8/23/19-8/26/19,209.8,187.9,,,,,,
7890,,,8/23/19-8/26/19,211.3,187.6,,,,,,
7906,,,8/23/19-8/26/19,263.2,253.3,,,,,,
7907,,,8/23/19-8/26/19,259.9,253.8,,,,,,
7895,,,8/23/19-8/26/19,257.9,253.6,,,,,,
7894,,,8/23/19-8/26/19,227.8,205.6,,,,,,
7882,,,8/26/19-8/29/19,264.2,239,,,,,,
7883,,,8/26/19-8/29/19,265.4,250.6,,,,,,
7886,,,8/26/19-8/29/19,202,163.3,,,,,,
7889,,,8/26/19-8/27/19,202,191.1,,,,,,
7890,,,8/26/19-8/27/19,201.1,192.5,,,,,,
7906,,,8/26/19-8/29/19,270.8,251.4,,,,,,
7907,,,8/26/19-8/29/19,266.5,253.8,,,,,,
7895,,,8/26/19-8/27/19,267.1,290.5,,,,,,
7894,,,8/26/19-8/29/19,214.9,189.2,,,,,,
7889,2,,8/27/19-8/29/19,191.1,186.2,,,,,,
7890,1,,8/27/19-8/29/19,192.5,177,,,,,,
7895,3,,8/27/19-8/29/19,290.5,251.5,,,,,,
7882,,,8/29/19-9/3/19,271.2,239.5,,,,,,
7883,,,8/29/19-9/3/19,269.9,250.8,,,,,,
7886,,,8/29/19-8/30/19,206.5,193.3,,,,,,
7889,2,,8/29/19-8/30/19,213,208.8,,,,,,
7890,1,,8/29/19-8/30/19,209.8,204.4,,,,,,
7906,,,8/29/19-9/3/19,274.9,248,,,,,,
7907,,,8/29/19-9/3/19,268,249.1,,,,,,
7895,3,,8/29/19-9/3/19,272.9,254.6,,,,,,
7894,,,8/29/19-8/30/19,223.2,214.1,,,,,,
7886,,,8/30/19-9/3/19,218.4,169.1,,,,,,
7889,2,,8/30/19-9/3/19,220.2,208.2,,,,,,
7890,1,,8/30/19-9/3/19,213,192.6,,,,,,
7894,,,8/30/19-9/3/19,229.2,201.9,,,,,,
7882,,,9/3/19-9/5/19,266.3,252.4,,,,,,
7886,,,9/3/19-9/5/19,212.3,186.7,,,,,,
7889,2,,9/3/19-9/6/19,215.9,205.2,,,,,,
7890,1,,9/3/19-9/6/19,213.9,192.4,,,,,,
7906,,,9/3/19-9/6/19,276.9,257.7,,,,,,
7907,,,9/3/19-9/6/19,268.1,254.1,,,,,,
7895,2,,9/3/19-9/6/19,271.7,260.6,,,,,,
7894,,,9/3/19-9/6/19,221.1,198.4,,,,,,
7886,,,9/5/19-9/6/19,213.7,199.8,,,,,,
7883,,,9/5/19-9/6/19,272,267.3,,,,,,
7889,2,,9/6/19-9/9/19,218.4,208.1,,,,,,
7890,1,,9/6/19-9/11/19,217.8,191.3,,,,,,
7906,,,9/6/19-9/11/19,273.9,245.7,,,,,,
7907,,,9/6/19-9/11/19,269.1,248.6,,,,,,
7895,2,,9/6/19-9/11/19,267.9,248.6,,,,,,
7894,,,9/6/19-9/11/19,224.4,189.3,,,,,,
7886,,,9/6/19-9/9/19,213.3,181.8,,,,,,
7883,,,9/6/19-9/9/19,268.9,258.6,,,,,,
7882,,,9/6/19-9/9/19,268.9,250.2,,,,,,
