age,animal.id,MouseID,Sex,Genotype,values,assay,experiment.date
88,22266,8288,F,fl/fl; +/+,2560,Total Fat Mass,2019-06-18
88,22266,8288,F,fl/fl; +/+,15570,Lean Mass,2019-06-18
88,22266,8288,F,fl/fl; +/+,20000,Body Weight,2019-06-18
81,22266,8288,F,fl/fl; +/+,15540,Lean Mass,2019-06-11
81,22266,8288,F,fl/fl; +/+,1960,Total Fat Mass,2019-06-11
95,22266,8288,F,fl/fl; +/+,21200,Body Weight,2019-06-25
95,22266,8288,F,fl/fl; +/+,3900,Total Fat Mass,2019-06-25
95,22266,8288,F,fl/fl; +/+,15130,Lean Mass,2019-06-25
101,22266,8288,F,fl/fl; +/+,21000,Body Weight,2019-07-01
101,22266,8288,F,fl/fl; +/+,3810,Total Fat Mass,2019-07-01
101,22266,8288,F,fl/fl; +/+,15230,Lean Mass,2019-07-01
56,22267,8289,F,fl/fl; +/+,18900,Body Weight,2019-05-17
56,22267,8289,F,fl/fl; +/+,1660,Total Fat Mass,2019-05-17
56,22267,8289,F,fl/fl; +/+,14230,Lean Mass,2019-05-17
74,22267,8289,F,fl/fl; +/+,18600,Body Weight,2019-06-04
74,22267,8289,F,fl/fl; +/+,1910,Total Fat Mass,2019-06-04
74,22267,8289,F,fl/fl; +/+,15120,Lean Mass,2019-06-04
81,22267,8289,F,fl/fl; +/+,18000,Body Weight,2019-06-11
88,22267,8289,F,fl/fl; +/+,2560,Total Fat Mass,2019-06-18
88,22267,8289,F,fl/fl; +/+,15300,Lean Mass,2019-06-18
88,22267,8289,F,fl/fl; +/+,19800,Body Weight,2019-06-18
81,22267,8289,F,fl/fl; +/+,14260,Lean Mass,2019-06-11
81,22267,8289,F,fl/fl; +/+,2100,Total Fat Mass,2019-06-11
95,22267,8289,F,fl/fl; +/+,19500,Body Weight,2019-06-25
95,22267,8289,F,fl/fl; +/+,2780,Total Fat Mass,2019-06-25
95,22267,8289,F,fl/fl; +/+,15070,Lean Mass,2019-06-25
101,22267,8289,F,fl/fl; +/+,24700,Body Weight,2019-07-01
101,22267,8289,F,fl/fl; +/+,3600,Total Fat Mass,2019-07-01
101,22267,8289,F,fl/fl; +/+,14910,Lean Mass,2019-07-01
56,22268,8290,F,fl/fl; +/+,19800,Body Weight,2019-05-17
56,22268,8290,F,fl/fl; +/+,1250,Total Fat Mass,2019-05-17
56,22268,8290,F,fl/fl; +/+,16100,Lean Mass,2019-05-17
74,22268,8290,F,fl/fl; +/+,20800,Body Weight,2019-06-04
74,22268,8290,F,fl/fl; +/+,1650,Total Fat Mass,2019-06-04
74,22268,8290,F,fl/fl; +/+,17320,Lean Mass,2019-06-04
81,22268,8290,F,fl/fl; +/+,20200,Body Weight,2019-06-11
88,22268,8290,F,fl/fl; +/+,2110,Total Fat Mass,2019-06-18
88,22268,8290,F,fl/fl; +/+,16540,Lean Mass,2019-06-18
88,22268,8290,F,fl/fl; +/+,20700,Body Weight,2019-06-18
81,22268,8290,F,fl/fl; +/+,15990,Lean Mass,2019-06-11
81,22268,8290,F,fl/fl; +/+,2110,Total Fat Mass,2019-06-11
95,22268,8290,F,fl/fl; +/+,22400,Body Weight,2019-06-25
95,22268,8290,F,fl/fl; +/+,3280,Total Fat Mass,2019-06-25
95,22268,8290,F,fl/fl; +/+,16540,Lean Mass,2019-06-25
101,22268,8290,F,fl/fl; +/+,22100,Body Weight,2019-07-01
101,22268,8290,F,fl/fl; +/+,3420,Total Fat Mass,2019-07-01
101,22268,8290,F,fl/fl; +/+,16490,Lean Mass,2019-07-01
70,22322,8344,M,fl/fl; +/+,21200,Body Weight,2019-06-07
70,22322,8344,M,fl/fl; +/+,1700,Total Fat Mass,2019-06-07
70,22322,8344,M,fl/fl; +/+,17050,Lean Mass,2019-06-07
74,22322,8344,M,fl/fl; +/+,21500,Body Weight,2019-06-11
74,22322,8344,M,fl/fl; +/+,1090,Total Fat Mass,2019-06-11
74,22322,8344,M,fl/fl; +/+,18440,Lean Mass,2019-06-11
81,22322,8344,M,fl/fl; +/+,22100,Body Weight,2019-06-18
81,22322,8344,M,fl/fl; +/+,1390,Total Fat Mass,2019-06-18
81,22322,8344,M,fl/fl; +/+,18610,Lean Mass,2019-06-18
88,22322,8344,M,fl/fl; +/+,22200,Body Weight,2019-06-25
88,22322,8344,M,fl/fl; +/+,2330,Total Fat Mass,2019-06-25
88,22322,8344,M,fl/fl; +/+,17830,Lean Mass,2019-06-25
94,22322,8344,M,fl/fl; +/+,22800,Body Weight,2019-07-01
94,22322,8344,M,fl/fl; +/+,3090,Total Fat Mass,2019-07-01
94,22322,8344,M,fl/fl; +/+,17720,Lean Mass,2019-07-01
102,22322,8344,M,fl/fl; +/+,23300,Body Weight,2019-07-09
102,22322,8344,M,fl/fl; +/+,3260,Total Fat Mass,2019-07-09
109,22322,8344,M,fl/fl; +/+,25000,Body Weight,2019-07-16
109,22322,8344,M,fl/fl; +/+,4700,Total Fat Mass,2019-07-16
109,22322,8344,M,fl/fl; +/+,18400,Lean Mass,2019-07-16
70,22323,8345,M,fl/fl; +/+,23700,Body Weight,2019-06-07
70,22323,8345,M,fl/fl; +/+,1760,Total Fat Mass,2019-06-07
70,22323,8345,M,fl/fl; +/+,18840,Lean Mass,2019-06-07
74,22323,8345,M,fl/fl; +/+,23200,Body Weight,2019-06-11
74,22323,8345,M,fl/fl; +/+,1320,Total Fat Mass,2019-06-11
74,22323,8345,M,fl/fl; +/+,19610,Lean Mass,2019-06-11
81,22323,8345,M,fl/fl; +/+,24200,Body Weight,2019-06-18
81,22323,8345,M,fl/fl; +/+,1820,Total Fat Mass,2019-06-18
81,22323,8345,M,fl/fl; +/+,19730,Lean Mass,2019-06-18
88,22323,8345,M,fl/fl; +/+,24400,Body Weight,2019-06-25
88,22323,8345,M,fl/fl; +/+,2990,Total Fat Mass,2019-06-25
88,22323,8345,M,fl/fl; +/+,18960,Lean Mass,2019-06-25
94,22323,8345,M,fl/fl; +/+,24300,Body Weight,2019-07-01
94,22323,8345,M,fl/fl; +/+,3360,Total Fat Mass,2019-07-01
94,22323,8345,M,fl/fl; +/+,18910,Lean Mass,2019-07-01
102,22323,8345,M,fl/fl; +/+,25400,Body Weight,2019-07-09
102,22323,8345,M,fl/fl; +/+,3950,Total Fat Mass,2019-07-09
102,22323,8345,M,fl/fl; +/+,19330,Lean Mass,2019-07-09
109,22323,8345,M,fl/fl; +/+,26400,Body Weight,2019-07-16
109,22323,8345,M,fl/fl; +/+,4300,Total Fat Mass,2019-07-16
109,22323,8345,M,fl/fl; +/+,19780,Lean Mass,2019-07-16
70,22324,8346,M,fl/fl; +/+,22700,Body Weight,2019-06-07
70,22324,8346,M,fl/fl; +/+,1740,Total Fat Mass,2019-06-07
70,22324,8346,M,fl/fl; +/+,17050,Lean Mass,2019-06-07
74,22324,8346,M,fl/fl; +/+,22800,Body Weight,2019-06-11
74,22324,8346,M,fl/fl; +/+,1930,Total Fat Mass,2019-06-11
74,22324,8346,M,fl/fl; +/+,19070,Lean Mass,2019-06-11
81,22324,8346,M,fl/fl; +/+,23100,Body Weight,2019-06-18
81,22324,8346,M,fl/fl; +/+,2410,Total Fat Mass,2019-06-18
81,22324,8346,M,fl/fl; +/+,18710,Lean Mass,2019-06-18
88,22324,8346,M,fl/fl; +/+,23600,Body Weight,2019-06-25
88,22324,8346,M,fl/fl; +/+,3210,Total Fat Mass,2019-06-25
88,22324,8346,M,fl/fl; +/+,18060,Lean Mass,2019-06-25
70,22325,8347,F,fl/fl; +/+,20300,Body Weight,2019-06-07
70,22325,8347,F,fl/fl; +/+,2120,Total Fat Mass,2019-06-07
70,22325,8347,F,fl/fl; +/+,18840,Lean Mass,2019-06-07
74,22325,8347,F,fl/fl; +/+,20700,Body Weight,2019-06-11
74,22325,8347,F,fl/fl; +/+,1830,Total Fat Mass,2019-06-11
74,22325,8347,F,fl/fl; +/+,16540,Lean Mass,2019-06-11
81,22325,8347,F,fl/fl; +/+,20200,Body Weight,2019-06-18
81,22325,8347,F,fl/fl; +/+,1890,Total Fat Mass,2019-06-18
81,22325,8347,F,fl/fl; +/+,16200,Lean Mass,2019-06-18
88,22325,8347,F,fl/fl; +/+,20100,Body Weight,2019-06-25
88,22325,8347,F,fl/fl; +/+,2300,Total Fat Mass,2019-06-25
88,22325,8347,F,fl/fl; +/+,15640,Lean Mass,2019-06-25
94,22325,8347,F,fl/fl; +/+,20400,Body Weight,2019-07-01
94,22325,8347,F,fl/fl; +/+,2610,Total Fat Mass,2019-07-01
94,22325,8347,F,fl/fl; +/+,15430,Lean Mass,2019-07-01
102,22325,8347,F,fl/fl; +/+,20500,Body Weight,2019-07-09
102,22325,8347,F,fl/fl; +/+,2890,Total Fat Mass,2019-07-09
102,22325,8347,F,fl/fl; +/+,15880,Lean Mass,2019-07-09
109,22325,8347,F,fl/fl; +/+,21400,Body Weight,2019-07-16
109,22325,8347,F,fl/fl; +/+,2920,Total Fat Mass,2019-07-16
109,22325,8347,F,fl/fl; +/+,16650,Lean Mass,2019-07-16
70,22326,8348,F,fl/fl; +/+,20500,Body Weight,2019-06-07
70,22326,8348,F,fl/fl; +/+,1770,Total Fat Mass,2019-06-07
70,22326,8348,F,fl/fl; +/+,16200,Lean Mass,2019-06-07
74,22326,8348,F,fl/fl; +/+,20700,Body Weight,2019-06-11
74,22326,8348,F,fl/fl; +/+,2120,Total Fat Mass,2019-06-11
74,22326,8348,F,fl/fl; +/+,16430,Lean Mass,2019-06-11
81,22326,8348,F,fl/fl; +/+,20900,Body Weight,2019-06-18
81,22326,8348,F,fl/fl; +/+,1970,Total Fat Mass,2019-06-18
81,22326,8348,F,fl/fl; +/+,16860,Lean Mass,2019-06-18
88,22326,8348,F,fl/fl; +/+,20600,Body Weight,2019-06-25
88,22326,8348,F,fl/fl; +/+,2220,Total Fat Mass,2019-06-25
88,22326,8348,F,fl/fl; +/+,16260,Lean Mass,2019-06-25
94,22326,8348,F,fl/fl; +/+,21100,Body Weight,2019-07-01
94,22326,8348,F,fl/fl; +/+,2980,Total Fat Mass,2019-07-01
94,22326,8348,F,fl/fl; +/+,16120,Lean Mass,2019-07-01
102,22326,8348,F,fl/fl; +/+,21900,Body Weight,2019-07-09
102,22326,8348,F,fl/fl; +/+,3790,Total Fat Mass,2019-07-09
102,22326,8348,F,fl/fl; +/+,16280,Lean Mass,2019-07-09
109,22326,8348,F,fl/fl; +/+,22900,Body Weight,2019-07-16
109,22326,8348,F,fl/fl; +/+,4450,Total Fat Mass,2019-07-16
109,22326,8348,F,fl/fl; +/+,16340,Lean Mass,2019-07-16
70,22327,8349,F,fl/fl; +/+,20800,Body Weight,2019-06-07
70,22327,8349,F,fl/fl; +/+,2130,Total Fat Mass,2019-06-07
70,22327,8349,F,fl/fl; +/+,15740,Lean Mass,2019-06-07
74,22327,8349,F,fl/fl; +/+,20800,Body Weight,2019-06-11
74,22327,8349,F,fl/fl; +/+,2250,Total Fat Mass,2019-06-11
74,22327,8349,F,fl/fl; +/+,16350,Lean Mass,2019-06-11
81,22327,8349,F,fl/fl; +/+,20800,Body Weight,2019-06-18
81,22327,8349,F,fl/fl; +/+,2000,Total Fat Mass,2019-06-18
81,22327,8349,F,fl/fl; +/+,16420,Lean Mass,2019-06-18
88,22327,8349,F,fl/fl; +/+,20900,Body Weight,2019-06-25
88,22327,8349,F,fl/fl; +/+,2200,Total Fat Mass,2019-06-25
88,22327,8349,F,fl/fl; +/+,16480,Lean Mass,2019-06-25
74,22411,8457,M,fl/fl; +/+,22200,Body Weight,2019-06-25
74,22411,8457,M,fl/fl; +/+,1760,Total Fat Mass,2019-06-25
74,22411,8457,M,fl/fl; +/+,18310,Lean Mass,2019-06-25
88,22411,8457,M,fl/fl; +/+,22700,Body Weight,2019-07-09
88,22411,8457,M,fl/fl; +/+,1160,Total Fat Mass,2019-07-09
88,22411,8457,M,fl/fl; +/+,19430,Lean Mass,2019-07-09
95,22411,8457,M,fl/fl; +/+,22300,Body Weight,2019-07-16
95,22411,8457,M,fl/fl; +/+,1500,Total Fat Mass,2019-07-16
95,22411,8457,M,fl/fl; +/+,18690,Lean Mass,2019-07-16
101,22411,8457,M,fl/fl; +/+,23000,Body Weight,2019-07-22
101,22411,8457,M,fl/fl; +/+,2050,Total Fat Mass,2019-07-22
101,22411,8457,M,fl/fl; +/+,18790,Lean Mass,2019-07-22
109,22411,8457,M,fl/fl; +/+,22600,Body Weight,2019-07-30
109,22411,8457,M,fl/fl; +/+,2620,Total Fat Mass,2019-07-30
109,22411,8457,M,fl/fl; +/+,18380,Lean Mass,2019-07-30
68,22450,8473,M,fl/fl; +/+,25300,Body Weight,2019-06-25
68,22450,8473,M,fl/fl; +/+,1640,Total Fat Mass,2019-06-25
68,22450,8473,M,fl/fl; +/+,21480,Lean Mass,2019-06-25
82,22450,8473,M,fl/fl; +/+,26500,Body Weight,2019-07-09
82,22450,8473,M,fl/fl; +/+,2250,Total Fat Mass,2019-07-09
82,22450,8473,M,fl/fl; +/+,21920,Lean Mass,2019-07-09
89,22450,8473,M,fl/fl; +/+,27300,Body Weight,2019-07-16
89,22450,8473,M,fl/fl; +/+,4200,Total Fat Mass,2019-07-16
89,22450,8473,M,fl/fl; +/+,20260,Lean Mass,2019-07-16
95,22450,8473,M,fl/fl; +/+,27800,Body Weight,2019-07-22
95,22450,8473,M,fl/fl; +/+,4930,Total Fat Mass,2019-07-22
95,22450,8473,M,fl/fl; +/+,20650,Lean Mass,2019-07-22
103,22450,8473,M,fl/fl; +/+,28300,Body Weight,2019-07-30
103,22450,8473,M,fl/fl; +/+,5890,Total Fat Mass,2019-07-30
103,22450,8473,M,fl/fl; +/+,20470,Lean Mass,2019-07-30
68,22451,8474,M,fl/fl; +/+,26200,Body Weight,2019-06-25
68,22451,8474,M,fl/fl; +/+,1700,Total Fat Mass,2019-06-25
68,22451,8474,M,fl/fl; +/+,22390,Lean Mass,2019-06-25
82,22451,8474,M,fl/fl; +/+,26800,Body Weight,2019-07-09
82,22451,8474,M,fl/fl; +/+,1850,Total Fat Mass,2019-07-09
82,22451,8474,M,fl/fl; +/+,23100,Lean Mass,2019-07-09
89,22451,8474,M,fl/fl; +/+,27800,Body Weight,2019-07-16
89,22451,8474,M,fl/fl; +/+,3850,Total Fat Mass,2019-07-16
89,22451,8474,M,fl/fl; +/+,21840,Lean Mass,2019-07-16
95,22451,8474,M,fl/fl; +/+,28900,Body Weight,2019-07-22
95,22451,8474,M,fl/fl; +/+,5330,Total Fat Mass,2019-07-22
95,22451,8474,M,fl/fl; +/+,21570,Lean Mass,2019-07-22
103,22451,8474,M,fl/fl; +/+,28900,Body Weight,2019-07-30
103,22451,8474,M,fl/fl; +/+,5660,Total Fat Mass,2019-07-30
103,22451,8474,M,fl/fl; +/+,21190,Lean Mass,2019-07-30
68,22452,8475,F,fl/fl; +/+,20700,Body Weight,2019-06-25
68,22452,8475,F,fl/fl; +/+,2040,Total Fat Mass,2019-06-25
68,22452,8475,F,fl/fl; +/+,16860,Lean Mass,2019-06-25
82,22452,8475,F,fl/fl; +/+,21000,Body Weight,2019-07-09
82,22452,8475,F,fl/fl; +/+,2430,Total Fat Mass,2019-07-09
82,22452,8475,F,fl/fl; +/+,17060,Lean Mass,2019-07-09
89,22452,8475,F,fl/fl; +/+,20800,Body Weight,2019-07-16
89,22452,8475,F,fl/fl; +/+,2730,Total Fat Mass,2019-07-16
89,22452,8475,F,fl/fl; +/+,16290,Lean Mass,2019-07-16
95,22452,8475,F,fl/fl; +/+,21200,Body Weight,2019-07-22
95,22452,8475,F,fl/fl; +/+,3240,Total Fat Mass,2019-07-22
95,22452,8475,F,fl/fl; +/+,15820,Lean Mass,2019-07-22
103,22452,8475,F,fl/fl; +/+,23100,Body Weight,2019-07-30
103,22452,8475,F,fl/fl; +/+,5130,Total Fat Mass,2019-07-30
103,22452,8475,F,fl/fl; +/+,15970,Lean Mass,2019-07-30
68,22453,8476,F,fl/fl; +/+,20700,Body Weight,2019-06-25
68,22453,8476,F,fl/fl; +/+,2060,Total Fat Mass,2019-06-25
68,22453,8476,F,fl/fl; +/+,16760,Lean Mass,2019-06-25
82,22453,8476,F,fl/fl; +/+,21700,Body Weight,2019-07-09
82,22453,8476,F,fl/fl; +/+,2600,Total Fat Mass,2019-07-09
82,22453,8476,F,fl/fl; +/+,17270,Lean Mass,2019-07-09
89,22453,8476,F,fl/fl; +/+,21300,Body Weight,2019-07-16
89,22453,8476,F,fl/fl; +/+,2850,Total Fat Mass,2019-07-16
89,22453,8476,F,fl/fl; +/+,16570,Lean Mass,2019-07-16
95,22453,8476,F,fl/fl; +/+,21700,Body Weight,2019-07-22
95,22453,8476,F,fl/fl; +/+,3210,Total Fat Mass,2019-07-22
95,22453,8476,F,fl/fl; +/+,16700,Lean Mass,2019-07-22
103,22453,8476,F,fl/fl; +/+,22300,Body Weight,2019-07-30
103,22453,8476,F,fl/fl; +/+,16520,Lean Mass,2019-07-30
103,22453,8476,F,fl/fl; +/+,3880,Total Fat Mass,2019-07-30
68,22454,8477,F,fl/fl; +/+,20700,Body Weight,2019-06-25
68,22454,8477,F,fl/fl; +/+,1910,Total Fat Mass,2019-06-25
68,22454,8477,F,fl/fl; +/+,16730,Lean Mass,2019-06-25
82,22454,8477,F,fl/fl; +/+,21700,Body Weight,2019-07-09
82,22454,8477,F,fl/fl; +/+,2590,Total Fat Mass,2019-07-09
82,22454,8477,F,fl/fl; +/+,18290,Lean Mass,2019-07-09
82,22454,8477,F,fl/fl; +/+,17120,Lean Mass,2019-07-09
89,22454,8477,F,fl/fl; +/+,21000,Body Weight,2019-07-16
89,22454,8477,F,fl/fl; +/+,2930,Total Fat Mass,2019-07-16
89,22454,8477,F,fl/fl; +/+,16120,Lean Mass,2019-07-16
95,22454,8477,F,fl/fl; +/+,21700,Body Weight,2019-07-22
95,22454,8477,F,fl/fl; +/+,3680,Total Fat Mass,2019-07-22
95,22454,8477,F,fl/fl; +/+,16140,Lean Mass,2019-07-22
103,22454,8477,F,fl/fl; +/+,22300,Body Weight,2019-07-30
103,22454,8477,F,fl/fl; +/+,4300,Total Fat Mass,2019-07-30
103,22454,8477,F,fl/fl; +/+,16230,Lean Mass,2019-07-30
68,22537,8556,M,fl/fl; +/+,23800,Body Weight,2019-07-09
68,22537,8556,M,fl/fl; +/+,2680,Total Fat Mass,2019-07-09
68,22537,8556,M,fl/fl; +/+,20310,Lean Mass,2019-07-09
75,22537,8556,M,fl/fl; +/+,24600,Body Weight,2019-07-16
75,22537,8556,M,fl/fl; +/+,2260,Total Fat Mass,2019-07-16
75,22537,8556,M,fl/fl; +/+,20630,Lean Mass,2019-07-16
82,22537,8556,M,fl/fl; +/+,24500,Body Weight,2019-07-23
82,22537,8556,M,fl/fl; +/+,2830,Total Fat Mass,2019-07-23
82,22537,8556,M,fl/fl; +/+,20430,Lean Mass,2019-07-23
89,22537,8556,M,fl/fl; +/+,23000,Body Weight,2019-07-30
89,22537,8556,M,fl/fl; +/+,2320,Total Fat Mass,2019-07-30
89,22537,8556,M,fl/fl; +/+,19360,Lean Mass,2019-07-30
96,22537,8556,M,fl/fl; +/+,23500,Body Weight,2019-08-06
96,22537,8556,M,fl/fl; +/+,2830,Total Fat Mass,2019-08-06
96,22537,8556,M,fl/fl; +/+,19530,Lean Mass,2019-08-06
103,22537,8556,M,fl/fl; +/+,24200,Body Weight,2019-08-13
103,22537,8556,M,fl/fl; +/+,24200,Body Weight,2019-08-13
103,22537,8556,M,fl/fl; +/+,24200,Body Weight,2019-08-13
103,22537,8556,M,fl/fl; +/+,3290,Total Fat Mass,2019-08-13
103,22537,8556,M,fl/fl; +/+,19280,Lean Mass,2019-08-13
109,22537,8556,M,fl/fl; +/+,24200,Body Weight,2019-08-19
109,22537,8556,M,fl/fl; +/+,2960,Total Fat Mass,2019-08-19
109,22537,8556,M,fl/fl; +/+,19200,Lean Mass,2019-08-19
68,22538,8557,M,fl/fl; +/+,23200,Body Weight,2019-07-09
68,22538,8557,M,fl/fl; +/+,1790,Total Fat Mass,2019-07-09
68,22538,8557,M,fl/fl; +/+,19610,Lean Mass,2019-07-09
75,22538,8557,M,fl/fl; +/+,23300,Body Weight,2019-07-16
75,22538,8557,M,fl/fl; +/+,1850,Total Fat Mass,2019-07-16
75,22538,8557,M,fl/fl; +/+,19480,Lean Mass,2019-07-16
82,22538,8557,M,fl/fl; +/+,23700,Body Weight,2019-07-23
82,22538,8557,M,fl/fl; +/+,2360,Total Fat Mass,2019-07-23
82,22538,8557,M,fl/fl; +/+,19910,Lean Mass,2019-07-23
89,22538,8557,M,fl/fl; +/+,23000,Body Weight,2019-07-30
89,22538,8557,M,fl/fl; +/+,1980,Total Fat Mass,2019-07-30
89,22538,8557,M,fl/fl; +/+,19380,Lean Mass,2019-07-30
96,22538,8557,M,fl/fl; +/+,24200,Body Weight,2019-08-06
96,22538,8557,M,fl/fl; +/+,3140,Total Fat Mass,2019-08-06
96,22538,8557,M,fl/fl; +/+,19850,Lean Mass,2019-08-06
103,22538,8557,M,fl/fl; +/+,24500,Body Weight,2019-08-13
103,22538,8557,M,fl/fl; +/+,2720,Total Fat Mass,2019-08-13
103,22538,8557,M,fl/fl; +/+,19910,Lean Mass,2019-08-13
109,22538,8557,M,fl/fl; +/+,25400,Body Weight,2019-08-19
109,22538,8557,M,fl/fl; +/+,2820,Total Fat Mass,2019-08-19
109,22538,8557,M,fl/fl; +/+,20250,Lean Mass,2019-08-19
68,22539,8558,M,fl/fl; +/+,23800,Body Weight,2019-07-09
68,22539,8558,M,fl/fl; +/+,2070,Total Fat Mass,2019-07-09
68,22539,8558,M,fl/fl; +/+,20010,Lean Mass,2019-07-09
75,22539,8558,M,fl/fl; +/+,23900,Body Weight,2019-07-16
75,22539,8558,M,fl/fl; +/+,19930,Lean Mass,2019-07-16
75,22539,8558,M,fl/fl; +/+,2060,Total Fat Mass,2019-07-16
82,22539,8558,M,fl/fl; +/+,23800,Body Weight,2019-07-23
82,22539,8558,M,fl/fl; +/+,2530,Total Fat Mass,2019-07-23
82,22539,8558,M,fl/fl; +/+,20060,Lean Mass,2019-07-23
89,22539,8558,M,fl/fl; +/+,23200,Body Weight,2019-07-30
89,22539,8558,M,fl/fl; +/+,1560,Total Fat Mass,2019-07-30
89,22539,8558,M,fl/fl; +/+,19920,Lean Mass,2019-07-30
68,22540,8559,M,fl/fl; +/+,23700,Body Weight,2019-07-09
68,22540,8559,M,fl/fl; +/+,2470,Total Fat Mass,2019-07-09
68,22540,8559,M,fl/fl; +/+,20820,Lean Mass,2019-07-09
75,22540,8559,M,fl/fl; +/+,24200,Body Weight,2019-07-16
75,22540,8559,M,fl/fl; +/+,1730,Total Fat Mass,2019-07-16
75,22540,8559,M,fl/fl; +/+,20460,Lean Mass,2019-07-16
82,22540,8559,M,fl/fl; +/+,24400,Body Weight,2019-07-23
82,22540,8559,M,fl/fl; +/+,2070,Total Fat Mass,2019-07-23
82,22540,8559,M,fl/fl; +/+,20530,Lean Mass,2019-07-23
89,22540,8559,M,fl/fl; +/+,23400,Body Weight,2019-07-30
89,22540,8559,M,fl/fl; +/+,1150,Total Fat Mass,2019-07-30
89,22540,8559,M,fl/fl; +/+,20390,Lean Mass,2019-07-30
96,22540,8559,M,fl/fl; +/+,25200,Body Weight,2019-08-06
96,22540,8559,M,fl/fl; +/+,2080,Total Fat Mass,2019-08-06
96,22540,8559,M,fl/fl; +/+,21540,Lean Mass,2019-08-06
103,22540,8559,M,fl/fl; +/+,26100,Body Weight,2019-08-13
103,22540,8559,M,fl/fl; +/+,2040,Total Fat Mass,2019-08-13
103,22540,8559,M,fl/fl; +/+,21980,Lean Mass,2019-08-13
109,22540,8559,M,fl/fl; +/+,26400,Body Weight,2019-08-19
109,22540,8559,M,fl/fl; +/+,2150,Total Fat Mass,2019-08-19
109,22540,8559,M,fl/fl; +/+,21850,Lean Mass,2019-08-19
68,22541,8560,F,fl/fl; +/+,21100,Body Weight,2019-07-09
68,22541,8560,F,fl/fl; +/+,2220,Total Fat Mass,2019-07-09
68,22541,8560,F,fl/fl; +/+,17200,Lean Mass,2019-07-09
75,22541,8560,F,fl/fl; +/+,20900,Body Weight,2019-07-16
75,22541,8560,F,fl/fl; +/+,2340,Total Fat Mass,2019-07-16
75,22541,8560,F,fl/fl; +/+,16980,Lean Mass,2019-07-16
82,22541,8560,F,fl/fl; +/+,20400,Body Weight,2019-07-23
82,22541,8560,F,fl/fl; +/+,2560,Total Fat Mass,2019-07-23
82,22541,8560,F,fl/fl; +/+,16500,Lean Mass,2019-07-23
89,22541,8560,F,fl/fl; +/+,20000,Body Weight,2019-07-30
89,22541,8560,F,fl/fl; +/+,2830,Total Fat Mass,2019-07-30
89,22541,8560,F,fl/fl; +/+,15430,Lean Mass,2019-07-30
96,22541,8560,F,fl/fl; +/+,20400,Body Weight,2019-08-06
96,22541,8560,F,fl/fl; +/+,2870,Total Fat Mass,2019-08-06
96,22541,8560,F,fl/fl; +/+,16050,Lean Mass,2019-08-06
103,22541,8560,F,fl/fl; +/+,20800,Body Weight,2019-08-13
103,22541,8560,F,fl/fl; +/+,2710,Total Fat Mass,2019-08-13
103,22541,8560,F,fl/fl; +/+,16550,Lean Mass,2019-08-13
109,22541,8560,F,fl/fl; +/+,21600,Body Weight,2019-08-19
109,22541,8560,F,fl/fl; +/+,2460,Total Fat Mass,2019-08-19
109,22541,8560,F,fl/fl; +/+,17160,Lean Mass,2019-08-19
68,22542,8561,F,fl/fl; +/+,20100,Body Weight,2019-07-09
68,22542,8561,F,fl/fl; +/+,1530,Total Fat Mass,2019-07-09
68,22542,8561,F,fl/fl; +/+,16700,Lean Mass,2019-07-09
75,22542,8561,F,fl/fl; +/+,19600,Body Weight,2019-07-16
75,22542,8561,F,fl/fl; +/+,1250,Total Fat Mass,2019-07-16
75,22542,8561,F,fl/fl; +/+,16250,Lean Mass,2019-07-16
68,22543,8562,F,fl/fl; +/+,17500,Body Weight,2019-07-09
68,22543,8562,F,fl/fl; +/+,1900,Total Fat Mass,2019-07-09
68,22543,8562,F,fl/fl; +/+,14110,Lean Mass,2019-07-09
75,22543,8562,F,fl/fl; +/+,17600,Body Weight,2019-07-16
75,22543,8562,F,fl/fl; +/+,2110,Total Fat Mass,2019-07-16
75,22543,8562,F,fl/fl; +/+,13930,Lean Mass,2019-07-16
82,22543,8562,F,fl/fl; +/+,18100,Body Weight,2019-07-23
82,22543,8562,F,fl/fl; +/+,2270,Total Fat Mass,2019-07-23
82,22543,8562,F,fl/fl; +/+,14150,Lean Mass,2019-07-23
89,22543,8562,F,fl/fl; +/+,17500,Body Weight,2019-07-30
89,22543,8562,F,fl/fl; +/+,2890,Total Fat Mass,2019-07-30
89,22543,8562,F,fl/fl; +/+,13260,Lean Mass,2019-07-30
68,22544,8563,F,fl/fl; +/+,19200,Body Weight,2019-07-09
68,22544,8563,F,fl/fl; +/+,2280,Total Fat Mass,2019-07-09
68,22544,8563,F,fl/fl; +/+,15040,Lean Mass,2019-07-09
75,22544,8563,F,fl/fl; +/+,19200,Body Weight,2019-07-16
75,22544,8563,F,fl/fl; +/+,2130,Total Fat Mass,2019-07-16
75,22544,8563,F,fl/fl; +/+,14920,Lean Mass,2019-07-16
81,22544,8563,F,fl/fl; +/+,19930,Lean Mass,2019-07-22
82,22544,8563,F,fl/fl; +/+,20000,Body Weight,2019-07-23
82,22544,8563,F,fl/fl; +/+,2090,Total Fat Mass,2019-07-23
82,22544,8563,F,fl/fl; +/+,16150,Lean Mass,2019-07-23
89,22544,8563,F,fl/fl; +/+,19800,Body Weight,2019-07-30
89,22544,8563,F,fl/fl; +/+,2110,Total Fat Mass,2019-07-30
89,22544,8563,F,fl/fl; +/+,15380,Lean Mass,2019-07-30
