"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSMUSG00000027714",254.135900061952,0.243338658535531,0.128773677076019,1.88966149030505,0.0588032475904929,0.423658136271575,"Exosc9"
"ENSMUSG00000027715",25.2925233143609,-0.742364829928353,0.555098807754557,-1.33735619597403,0.181106395666143,0.634051167058221,"Ccna2"
"ENSMUSG00000027716",9.18666489737378,0.268482451383231,0.470534515897599,0.570590344198384,0.568277365333244,0.884527397917204,"Trpc3"
"ENSMUSG00000027718",0.116537476274453,-0.756158477080762,3.14975185020746,-0.240069222288402,0.81027659363197,NA,"Il21"
"ENSMUSG00000027719",0,NA,NA,NA,NA,NA,"Adad1"
"ENSMUSG00000027720",0.233074952548905,-1.33322764536411,3.14975185020746,-0.423280216591125,0.672090826541423,NA,"Il2"
"ENSMUSG00000027722",157.328457094352,0.0150368920346432,0.251514081467515,0.0597854877425037,0.952326484004585,0.991095708254798,"Spata5"
"ENSMUSG00000027737",6.38680750624435,0.386893705001111,0.544849667493274,0.710092577978653,0.477646728557927,0.844909895896261,"Slc7a11"
"ENSMUSG00000027739",65.0607607239,0.00845362678040729,0.386000643120766,0.0219005510251506,0.982527285226861,0.99671997055408,"Rab33b"
"ENSMUSG00000027742",804.152737057801,-0.0716177363307732,0.123335753486444,-0.580672954162029,0.561460893091462,0.881722939273952,"Cog6"
"ENSMUSG00000027744",0.103677677507676,0.301804267142093,3.14975185020746,0.0958184268142311,0.923664782215651,NA,"Stoml3"
"ENSMUSG00000027746",206.911041773622,-0.0580745320333219,0.131141471896364,-0.442838799912326,0.657882336682333,0.918315808797738,"Ufm1"
"ENSMUSG00000027748",0.572766780842239,1.36510833808843,2.23171176221831,0.611686670832221,0.540745082395654,NA,"Trpc4"
"ENSMUSG00000027750",1258.62481378797,0.249107167793862,0.181206196057817,1.37471661131488,0.169219319265132,0.62266250957919,"Postn"
"ENSMUSG00000027751",490.479356710222,0.03543302850294,0.106364658800733,0.333127834963691,0.739037788950844,0.945558436802313,"Supt20"
"ENSMUSG00000027752",105.745850483513,-0.0343517788130915,0.171095832487245,-0.200775076246538,0.840874452356334,0.969157056324311,"Exosc8"
"ENSMUSG00000027761",0.38216609298314,1.81558398647229,3.11529171781823,0.582797423460498,0.560029679660925,NA,"Aadac"
"ENSMUSG00000027762",3.99174234150634,-0.437901077111656,0.761964971603094,-0.574699747929827,0.5654943779736,0.883228990752127,"Sucnr1"
"ENSMUSG00000027763",135.384477305398,0.295397530148144,0.181783159309043,1.62499942938031,0.104162680416163,0.527167957325613,"Mbnl1"
"ENSMUSG00000027765",5.66816296801056,-0.062408574274774,0.608262272431184,-0.102601422286691,0.918279313977677,0.985868845826131,"P2ry1"
"ENSMUSG00000027770",413.413284133697,0.187734350246198,0.0773979252708812,2.42557341930234,0.0152842238615341,0.261144784957262,"Dhx36"
"ENSMUSG00000027774",461.216263204853,0.141601131518363,0.1168603950125,1.21171190207954,0.225622681486246,0.678959392250883,"Gfm1"
"ENSMUSG00000027775",828.030814940393,0.103644523964602,0.0708932117890336,1.46198093370393,0.143746434704938,0.587831341229246,"Mfsd1"
"ENSMUSG00000027776",0.904078798534451,-2.9025214350262,2.48114112083862,-1.16983327173472,0.242068071356287,NA,"Il12a"
