"","1415-NEH-1","1415-NEH-10","1415-NEH-11","1415-NEH-2","1415-NEH-3","1415-NEH-4","1415-NEH-5","1415-NEH-6","1415-NEH-7","1415-NEH-8","1415-NEH-9"
"ENSMUSG00000029234",1078.33744027146,1424.27972917474,1175.88994082111,1941.42595472305,892.260790287572,1506.58937852838,1608.81436360984,1334.24002843469,1919.24119371066,1180.70277569279,1699.33009641078
"ENSMUSG00000029235",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029236",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029238",143.296894824688,87.3556040416288,129.333307393919,111.279359395328,83.997208452361,46.0117342940552,103.42746912716,67.8073552124658,147.860661094052,88.2575808592109,120.880240262956
"ENSMUSG00000029245",0,0,0,0,0,2.56382447803796,0,0,0,0,0
"ENSMUSG00000029246",145.193358096869,95.3840167498226,77.9870691510293,116.366063138087,77.716463733439,115.351719391417,95.4243453791127,116.917162224028,149.428411522173,101.757158842652,173.565406703867
"ENSMUSG00000029247",904.819531169617,780.349909852169,835.952944832478,868.680804004058,885.3088246038,765.382538312328,928.203050003958,832.865555759252,947.750247280385,836.874553360578,852.252242737268
"ENSMUSG00000029248",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029249",173.274687085099,156.649240936553,221.600670143889,184.236228542285,203.807647519721,102.828665702313,234.760542729149,144.396516972423,152.995034932874,211.273997922098,130.131928408218
"ENSMUSG00000029250",743.987174695832,733.422914764888,636.946444309277,641.239856943609,592.80332684441,648.699338157791,652.736499611597,534.680524054216,759.710904023078,622.331117548987,795.435768947107
"ENSMUSG00000029253",159.780004636041,198.500220538121,153.911632232215,159.510370778386,156.941668449676,167.422105962776,206.209786060068,144.581096936657,174.541619007758,183.525325070084,209.44411093802
"ENSMUSG00000029254",19.1908790562631,51.6895637829602,8.74805807304072,8.36978479982676,20.8488203839851,35.8186207473777,9.42288557374007,15.4490724297744,4.58461670426214,18.2400382992691,9.04424358594495
"ENSMUSG00000029255",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029260",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029263",241.399066739253,246.750475509776,279.322162605552,268.900891452733,267.312619042266,202.724067997443,262.768077624303,301.037574274924,297.896580573256,245.11735308633,274.057346438074
"ENSMUSG00000029265",94.7014245857961,85.885863067036,96.7800983271851,93.7903906266341,101.574844227675,101.624904792745,96.3327864644106,91.9590435231192,97.5406066261785,112.054096300938,114.865829499421
"ENSMUSG00000029267",249.427243382807,292.733396174334,253.395550752637,215.012354503674,143.36979340337,264.149748409368,250.852875588502,151.281346328899,155.421067255901,253.482031274805,328.63703963866
"ENSMUSG00000029268",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029269",0,0,0.885247121935303,0,0,2.57968874785367,0,0,1.84046812430924,0.961183352158141,0
"ENSMUSG00000029270",584.775732558134,511.279200644662,763.261132236715,567.061568196212,665.457410150329,434.442383842854,553.460747004782,526.994840202881,617.266307085642,732.16773363644,420.621825182335
"ENSMUSG00000029272",2.03649680656078,2.20718626848373,7.13882759323544,2.1895797259587,1.04732140869497,3.84218484281804,5.1274353961065,3.8923225664771,0.923166557789839,2.83658783261423,1.16947194088664
"ENSMUSG00000029273",90.1950766990977,105.075178160475,124.176776660358,93.6979514786902,93.5601251812845,82.3049750594026,118.303029220043,118.544621638075,172.781516302901,124.05758116313,161.802314211517
"ENSMUSG00000029275",2.53894145353555,4.16415996017642,1.35531314818508,2.02734657832473,6.92265444446281,2.41094235682651,11.3390715473843,2.76099112637672,3.53159345011105,2.638044635902,0
"ENSMUSG00000029276",79.1732546490483,66.3616838126566,53.5367806319182,54.5263152419144,108.105787185849,61.5170921604196,70.6897656543145,62.9029070482777,73.2215105854887,75.4358325606206,79.1781399672242
"ENSMUSG00000029279",21.9035155112813,16.2949061190329,25.7269424332082,15.3229494756583,23.1179615617739,25.6535502793884,24.8247049948661,27.558371111775,26.247188135515,22.6921190188184,10.2497265609949
"ENSMUSG00000029280",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029281",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029282",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029283",33.1945044214543,45.1328091618172,25.9851711624607,19.003624068551,24.7313980476445,29.0418726232709,34.4063800462212,21.6569443110041,14.7298555737062,17.6852207188807,14.3808260064831
"ENSMUSG00000029286",0.687163277939002,0,0,1.10056908219873,0,2.57776568530719,0,0.988471514435066,0.939920577545656,0,0
"ENSMUSG00000029287",463.784317740114,308.860256692703,344.124142182544,276.622421574109,528.103526285194,274.731451456388,397.365861333816,345.298386911232,295.759979025484,436.358158674782,450.126379742905
"ENSMUSG00000029288",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029290",417.067327063531,310.480204829269,320.880264404572,311.447098906566,379.055753240311,231.334546215477,481.641499331021,255.669638378806,337.48340128295,346.995034713383,352.666534200404
"ENSMUSG00000029291",296.012896568855,209.295583485997,295.785382183418,308.303696586457,269.505934170244,270.48932775737,234.281474338125,277.543472543962,250.147337111705,341.269779271348,272.573232895852
"ENSMUSG00000029298",129.863181624723,146.754595932744,67.3843008248061,77.6401583499637,63.2445432830102,79.3639652014383,88.5193163964134,56.2961680740268,114.689992127359,111.335149157206,102.903284295732
"ENSMUSG00000029299",37.8431454400285,46.8672978291084,17.1626639134869,21.9966139339521,19.6179077323797,21.8593440701802,13.6285442039729,22.3350774633463,23.9891748743963,22.913483137205,16.8166557843751
"ENSMUSG00000029304",59.9278104794645,72.420055750145,69.9374260121444,66.6874402401382,880.141939922584,22.9325314562733,2433.89767924457,63.3944617446561,76.2360460660668,55.011422342382,1630.11278444964
"ENSMUSG00000029306",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029307",0,0,3.55484591481978,0,0,0,0,0,0,0,0
"ENSMUSG00000029309",871.768395408618,830.350628427049,975.537773000717,936.008481443453,1301.15582443642,781.425321424709,922.19988131928,1074.44339295643,1121.14571613918,1024.8278003575,1072.19181212682
"ENSMUSG00000029310",526.748324596947,640.442260544112,583.512686736471,613.139232782128,660.627992672276,666.703416745742,563.466207139329,557.814765694561,571.650353114566,588.048513674797,584.574136673561
"ENSMUSG00000029311",1800.41914564561,1778.21360028351,2332.61066747978,2035.31049262801,2302.68703702205,1665.94621558689,2172.00029805466,1919.1582975639,2233.96217605572,2020.29338498404,1765.73256853965
"ENSMUSG00000029312",120.458156252064,129.754530388772,112.35539611376,124.181635219998,101.312971859011,99.4513619112711,97.1367141261259,116.322195851248,112.710668538137,141.492212349577,68.0993024518768
"ENSMUSG00000029313",827.124570598784,807.838170364253,1159.28302942951,1443.34093091166,1011.73836181531,641.527226533978,1149.38542732197,907.812025248257,988.939565499062,1210.18703702607,870.442440949766
"ENSMUSG00000029314",162.204083533595,65.501430403663,77.0162508213683,44.898873702983,68.5786606638026,76.9028720633593,94.5930842072797,32.6448141070154,79.9930868870775,52.0312202126398,64.1896943377981
"ENSMUSG00000029319",636.492627865339,661.642534996113,632.613407410993,759.297205764843,627.974165825116,689.237434552936,754.437738508646,747.288402930729,716.544115999363,641.878008663385,706.672722918496
"ENSMUSG00000029320",0.67471234575178,1.092819031942,0,0,0,0,0,0.992513315820263,0,0.946918470461521,0
"ENSMUSG00000029321",15.536835673752,18.1975898232149,18.515998210388,24.1718157454345,23.1920256379843,27.230675115812,11.2764361998647,19.8579169913261,14.1945487724387,27.4284462360527,13.7561086052286
"ENSMUSG00000029322",31.1685054399958,36.2230570226873,7.09384934418295,5.52130540222746,9.95752245299287,31.6794256603631,3.09582987135682,9.7326179893045,10.1658066432881,9.21456834739339,12.9780330704854
"ENSMUSG00000029326",82.6303414448176,78.9161759298842,72.1076150940588,81.5142044798612,79.4799159563263,98.5159690520918,65.9663373124035,57.1877216501929,93.9694033996226,78.2641939629063,78.2580821398378
"ENSMUSG00000029328",1513.79826345741,1735.87589840191,1535.55579531639,1499.88733228599,1777.1310839522,1760.8004727201,1696.625651314,1973.09362194715,1633.4332367408,1683.86880290771,1624.78668541408
"ENSMUSG00000029330",37.0860388433048,37.6220605619933,32.7829648160382,32.8273155539391,32.7020425606211,24.289825143408,29.8488802810772,21.7252742079386,26.3032504140796,32.2052125040614,28.6373562149095
"ENSMUSG00000029334",1.68244961042001,20.7618576094144,0.725497387394956,1.79327138942463,0.817570674028775,2.09565625640418,0.846493346699688,5.6383877037008,1.53392515074667,0.775236904584397,0
"ENSMUSG00000029335",8.91623381382067,6.44277885905538,22.1395391995823,26.2287213925831,31.7262807670447,24.3690791545081,20.5006359024353,16.8308805797544,32.0760462168772,10.3687248918381,17.1918843439446
"ENSMUSG00000029337",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029338",36.8468180773029,37.9946989050774,29.2376286956947,23.1881035817151,35.9866301811708,28.4051789904266,21.8804052473132,34.6019912778044,37.7850149278045,18.1436794421281,21.8056736919194
"ENSMUSG00000029343",0,0,0,0,0,1.33757528464674,0,0,0,2.69220041927979,0
"ENSMUSG00000029344",359.966021577364,440.195092487676,422.408773568622,562.873409995897,437.515453878971,553.391821117691,352.789476785457,360.283041985938,377.83654807149,565.285545371146,466.584232399548
"ENSMUSG00000029345",416.650451322958,728.073523852683,579.786987839201,580.399260730289,718.040887319122,648.388923160137,270.082137923971,719.91499645199,544.840941685906,632.036611304476,1000.1903265578
"ENSMUSG00000029346",89.6984122476554,83.8861621569086,125.520957593957,109.092521108971,106.69721168007,104.233790730374,98.9521511416014,100.092642907011,122.985096807598,94.2670360793372,94.6304847624791
"ENSMUSG00000029348",2.0691440688661,1.29762228479865,1.06925257181675,9.2675871341954,28.5617890198302,3.84759511121593,0.61887999341334,0,0.565922512679027,2.84328948914338,0.692002336310879
"ENSMUSG00000029352",3.73309517182048,11.7673550981735,9.10150583434547,7.81676993602302,10.5794531793913,6.04175865528903,38.6978126228791,16.6258795544069,3.69395396182828,6.81557444716462,11.0216874721361
"ENSMUSG00000029359",5.70125987617346,12.1279376667546,1.66514520590892,2.09211934051692,1.80663554676834,9.84839578501769,5.89158197467935,1.86021925372138,2.66102928576538,2.72974492870417,4.37579829484159
