age,animal.id,MouseID,Sex,Genotype,assay,experiment.date,Cohort,Mass,Diet,start.date,injection.days,diet.time,Mass.Change
71,16982,4115,F,+/+,Lean Mass,2017-06-28,1,16.46,Control Diet,2017-06-21,7,0,0
71,16984,4116,F,+/+,Body Weight,2017-06-28,1,20.8,Control Diet,2017-06-21,7,0,0
71,16984,4116,F,+/+,Total Fat Mass,2017-06-28,1,3.15,Control Diet,2017-06-21,7,0,0
71,16984,4116,F,+/+,Lean Mass,2017-06-28,1,15.9,Control Diet,2017-06-21,7,0,0
71,16985,4117,F,+/+,Body Weight,2017-06-28,1,18.8,Control Diet,2017-06-21,7,0,0
71,16985,4117,F,+/+,Total Fat Mass,2017-06-28,1,1.36,Control Diet,2017-06-21,7,0,0
71,16985,4117,F,+/+,Lean Mass,2017-06-28,1,15.65,Control Diet,2017-06-21,7,0,0
79,16951,4086,M,+/+,Body Weight,2017-07-06,1,26.9,Control Diet,2017-06-21,15,1,1.8999999999999986
79,16951,4086,M,+/+,Total Fat Mass,2017-07-06,1,4.66,Control Diet,2017-06-21,15,1,1.4100000000000001
79,16951,4086,M,+/+,Lean Mass,2017-07-06,1,19.8,Control Diet,2017-06-21,15,1,-0.03999999999999915
79,16952,4087,M,+/+,Body Weight,2017-07-06,1,25.1,Control Diet,2017-06-21,15,1,2
79,16952,4087,M,+/+,Total Fat Mass,2017-07-06,1,4.25,Control Diet,2017-06-21,15,1,1.4900000000000002
79,16952,4087,M,+/+,Lean Mass,2017-07-06,1,18.82,Control Diet,2017-06-21,15,1,0.23000000000000043
79,16953,4088,M,+/+,Body Weight,2017-07-06,1,24.6,Control Diet,2017-06-21,15,1,0.6000000000000014
79,16953,4088,M,+/+,Total Fat Mass,2017-07-06,1,3.56,Control Diet,2017-06-21,15,1,1.58
79,16953,4088,M,+/+,Lean Mass,2017-07-06,1,19.05,Control Diet,2017-06-21,15,1,-1.0599999999999987
79,16954,4089,M,+/+,Body Weight,2017-07-06,1,26.3,Control Diet,2017-06-21,15,1,2.6000000000000014
79,16954,4089,M,+/+,Total Fat Mass,2017-07-06,1,4.82,Control Diet,2017-06-21,15,1,1.4500000000000002
79,16954,4089,M,+/+,Lean Mass,2017-07-06,1,19.45,Control Diet,2017-06-21,15,1,0.7799999999999976
79,16955,4090,M,+/+,Body Weight,2017-07-06,1,24.7,Ketogenic Diet,2017-06-21,15,1,0.09999999999999787
79,16955,4090,M,+/+,Total Fat Mass,2017-07-06,1,4.3,Ketogenic Diet,2017-06-21,15,1,0.79
79,16955,4090,M,+/+,Lean Mass,2017-07-06,1,18.37,Ketogenic Diet,2017-06-21,15,1,-0.8900000000000006
79,16956,4091,M,+/+,Body Weight,2017-07-06,1,25.1,Ketogenic Diet,2017-06-21,15,1,-1.0999999999999979
79,16956,4091,M,+/+,Total Fat Mass,2017-07-06,1,3.69,Ketogenic Diet,2017-06-21,15,1,-0.5000000000000004
79,16956,4091,M,+/+,Lean Mass,2017-07-06,1,18.87,Ketogenic Diet,2017-06-21,15,1,-1.3099999999999987
