"","age","animal.Alive","animal.Background","animal.Cage","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","KetogenicDiet","Diet"
"86",93,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Total Fat Mass","2017-07-20","fed",97146,"3250",TRUE,"Ketogenic Diet"
"87",93,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Lean Mass","2017-07-20","fed",97176,"19110",TRUE,"Ketogenic Diet"
"88",97,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Body Weight","2017-07-24","fed",97205,"24100",TRUE,"Ketogenic Diet"
"89",97,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Total Fat Mass","2017-07-24","fed",97234,"2130",TRUE,"Ketogenic Diet"
"90",97,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4090,101,16955,"A/J","Lean Mass","2017-07-24","fed",97263,"19900",TRUE,"Ketogenic Diet"
"91",64,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Body Weight","2017-06-21","fed",96236,"25700",TRUE,"Ketogenic Diet"
"92",64,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Total Fat Mass","2017-06-21","fed",96268,"4420",TRUE,"Ketogenic Diet"
"93",64,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Lean Mass","2017-06-21","fed",96300,"19520",TRUE,"Ketogenic Diet"
"94",86,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Body Weight","2017-07-13","fed",96355,"24600",TRUE,"Ketogenic Diet"
"95",86,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Total Fat Mass","2017-07-13","fed",96400,"3080",TRUE,"Ketogenic Diet"
"96",86,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Lean Mass","2017-07-13","fed",96435,"19530",TRUE,"Ketogenic Diet"
"97",79,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Body Weight","2017-07-06","fed",96481,"25100",TRUE,"Ketogenic Diet"
"98",79,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Total Fat Mass","2017-07-06","fed",96513,"3690",TRUE,"Ketogenic Diet"
"99",79,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Lean Mass","2017-07-06","fed",96547,"18870",TRUE,"Ketogenic Diet"
"100",71,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Body Weight","2017-06-28","fed",96643,"26200",TRUE,"Ketogenic Diet"
