age,animal.id,MouseID,Sex,Genotype,values,assay,experiment.date
57,23040,8903,M,+/+,20300,Body Weight,2019-08-07
57,23040,8903,M,+/+,1220,Total Fat Mass,2019-08-07
57,23040,8903,M,+/+,17440,Lean Mass,2019-08-07
71,23040,8903,M,+/+,21100,Body Weight,2019-08-21
71,23040,8903,M,+/+,1140,Total Fat Mass,2019-08-21
71,23040,8903,M,+/+,18340,Lean Mass,2019-08-21
78,23040,8903,M,+/+,21600,Body Weight,2019-08-28
78,23040,8903,M,+/+,2210,Total Fat Mass,2019-08-28
78,23040,8903,M,+/+,17770,Lean Mass,2019-08-28
78,23040,8903,M,+/+,21600,Body Weight,2019-08-28
78,23040,8903,M,+/+,"182,265,102,100,124,182,165,210,155",Plasma Glucose,2019-08-28
78,23040,8903,M,+/+,2210,Total Fat Mass,2019-08-28
78,23040,8903,M,+/+,17770,Lean Mass,2019-08-28
85,23040,8903,M,+/+,21900,Body Weight,2019-09-04
85,23040,8903,M,+/+,2570,Total Fat Mass,2019-09-04
85,23040,8903,M,+/+,17440,Lean Mass,2019-09-04
92,23040,8903,M,+/+,21800,Body Weight,2019-09-11
92,23040,8903,M,+/+,2370,Total Fat Mass,2019-09-11
99,23040,8903,M,+/+,22800,Body Weight,2019-09-18
99,23040,8903,M,+/+,2040,Total Fat Mass,2019-09-18
99,23040,8903,M,+/+,18700,Lean Mass,2019-09-18
106,23040,8903,M,+/+,23300,Body Weight,2019-09-25
106,23040,8903,M,+/+,3990,Total Fat Mass,2019-09-25
106,23040,8903,M,+/+,17640,Lean Mass,2019-09-25
22,23041,8904,M,+/+,8100,Body Weight,2019-07-03
22,23041,8904,M,+/+,590,Total Fat Mass,2019-07-03
22,23041,8904,M,+/+,6880,Lean Mass,2019-07-03
29,23041,8904,M,+/+,13700,Body Weight,2019-07-10
29,23041,8904,M,+/+,1180,Total Fat Mass,2019-07-10
29,23041,8904,M,+/+,11210,Lean Mass,2019-07-10
36,23041,8904,M,+/+,16600,Body Weight,2019-07-17
36,23041,8904,M,+/+,1120,Total Fat Mass,2019-07-17
36,23041,8904,M,+/+,14280,Lean Mass,2019-07-17
43,23041,8904,M,+/+,18200,Body Weight,2019-07-24
43,23041,8904,M,+/+,1540,Total Fat Mass,2019-07-24
43,23041,8904,M,+/+,14920,Lean Mass,2019-07-24
50,23041,8904,M,+/+,19600,Body Weight,2019-07-31
50,23041,8904,M,+/+,1590,Total Fat Mass,2019-07-31
50,23041,8904,M,+/+,16600,Lean Mass,2019-07-31
78,23041,8904,M,+/+,23500,Body Weight,2019-08-28
78,23041,8904,M,+/+,3420,Total Fat Mass,2019-08-28
64,23041,8904,M,+/+,1900,Total Fat Mass,2019-08-14
64,23041,8904,M,+/+,17760,Lean Mass,2019-08-14
64,23041,8904,M,+/+,21500,Body Weight,2019-08-14
57,23041,8904,M,+/+,20100,Body Weight,2019-08-07
57,23041,8904,M,+/+,1780,Total Fat Mass,2019-08-07
57,23041,8904,M,+/+,16680,Lean Mass,2019-08-07
