h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
1.033605e-01	1.231108e-01	6.286660e-03	7.202959e-03	1.898136e-03	13	
5.865080e-02	6.342203e-02	3.614340e-01	2.255251e-01	2.183005e-03	24	
2.048477e-01	1.821974e-01	3.527577e-02	2.656834e-02	2.644984e-03	19	
2.527006e-01	2.300097e-01	3.890952e-01	4.946621e-01	2.674595e-03	24	
4.245252e-01	3.060168e-01	6.970422e-01	5.138698e-01	4.084777e-03	21	
2.664112e-01	3.226211e-01	8.654167e-01	8.999327e-01	3.590491e-03	30	
4.362459e-01	1.804032e-01	9.598632e-01	7.952892e-01	3.897710e-03	18	
4.467128e-01	4.173034e-01	2.278410e-01	2.191491e-01	4.723427e-03	29	
5.648828e-01	1.817965e-01	9.492555e-01	6.317402e-01	4.022293e-03	16	
2.057623e-01	1.833228e-01	5.021523e-01	3.202260e-01	4.114210e-03	27	
1.367506e-01	1.011808e-01	8.850635e-01	8.776223e-01	4.640108e-03	26	
4.106295e-03	4.541755e-03	1.937551e-01	3.092758e-01	4.100170e-03	34	
3.445481e-01	2.870846e-01	2.107705e-01	2.119704e-01	3.938996e-03	29	
4.309506e-01	3.281970e-01	6.612422e-01	6.329482e-01	5.634036e-03	34	
2.742837e-01	2.341094e-01	1.007992e-01	1.931398e-01	4.968520e-03	34	
4.820809e-01	4.228953e-01	4.216197e-01	3.902198e-01	4.218712e-03	29	
9.825875e-02	1.075992e-01	1.417537e-01	1.034797e-01	4.968423e-03	45	
1.640431e-01	1.602888e-01	4.038723e-01	6.313427e-01	5.199177e-03	48	
4.217668e-01	3.925662e-01	5.135242e-02	5.789746e-02	7.045876e-03	51	
4.667273e-01	4.301577e-01	3.073951e-01	3.611170e-01	5.604224e-03	41	
3.356730e-01	4.123044e-01	3.607603e-01	3.528312e-01	6.201780e-03	45	
4.473779e-01	3.566044e-01	5.244080e-01	4.662038e-01	7.666280e-03	50	
1.997388e-01	1.802995e-01	8.828416e-01	8.800172e-01	5.678384e-03	51	
6.148709e-01	5.479825e-01	1.932890e-01	2.339745e-01	8.005188e-03	57	
3.169155e-01	3.831072e-01	3.469221e-01	3.756477e-01	8.735692e-03	68	
1.165574e-01	8.184337e-02	6.401624e-01	5.589013e-01	9.207208e-03	66	
6.345069e-02	5.221753e-02	7.384486e-01	6.142899e-01	1.218795e-02	79	
7.262654e-02	6.536722e-02	7.086188e-01	7.021587e-01	9.452674e-03	79	
2.926163e-01	4.045092e-01	4.352787e-01	2.822631e-01	1.235881e-02	90	
4.910530e-01	5.251939e-01	6.563009e-01	6.224472e-01	1.270987e-02	83	
9.827955e-02	7.383904e-02	9.762388e-01	9.764360e-01	1.210679e-02	88	
4.776762e-01	3.145996e-01	3.696175e-02	7.003041e-02	1.055561e-02	100	
1.919588e-01	1.368736e-01	7.807342e-01	8.171198e-01	1.570342e-02	99	
1.363024e-01	1.495743e-01	2.068473e-01	2.133303e-01	1.472766e-02	108	
1.434974e-01	1.292578e-01	6.926009e-01	7.019473e-01	1.504648e-02	110	
5.827579e-01	5.357864e-01	5.322641e-01	6.206584e-01	1.318811e-02	118	
1.609864e-01	1.539540e-01	2.092626e-01	2.878899e-01	1.618335e-02	115	
2.448621e-02	3.125536e-02	9.850179e-01	9.861112e-01	1.501875e-02	106	
2.955566e-01	2.664694e-01	5.342450e-01	3.844243e-01	1.890710e-02	123	
3.211172e-01	2.886221e-01	6.664087e-01	7.082974e-01	1.452704e-02	108	
3.181546e-01	3.432804e-01	2.980228e-01	2.633537e-01	1.904829e-02	124	
4.123508e-02	2.706419e-02	7.147127e-02	1.015852e-01	2.153252e-02	129	
2.115534e-02	2.577303e-02	5.499493e-01	6.661454e-01	1.617400e-02	126	
1.970742e-01	2.417709e-01	1.859695e-01	2.107869e-01	1.497570e-02	106	
6.491288e-01	5.063436e-01	9.998953e-01	9.998303e-01	1.544030e-02	108	
1.367057e-01	1.397424e-01	3.912719e-01	3.481839e-01	1.671812e-02	116	
3.751634e-01	3.924984e-01	6.884774e-01	6.072678e-01	1.325148e-02	105	
2.139641e-01	1.925762e-01	5.201021e-01	3.235438e-01	1.705289e-02	108	
1.747608e-01	1.699109e-01	9.069781e-01	9.126466e-01	1.651994e-02	107	
3.868496e-01	2.565661e-01	3.661392e-02	7.085324e-02	1.657417e-02	115	
2.453654e-01	2.007026e-01	8.459293e-01	8.184109e-01	1.533821e-02	107	
6.638694e-01	6.574059e-01	6.580433e-02	8.903715e-02	1.234331e-02	97	
1.214982e-01	1.012337e-01	3.014589e-01	3.370857e-01	1.427104e-02	101	
2.361638e-01	2.149902e-01	1.637320e-01	1.146604e-01	1.404531e-02	100	
7.642371e-02	1.023293e-01	8.521901e-01	9.014196e-01	1.229007e-02	112	
2.824787e-01	2.635166e-01	4.501596e-01	5.516531e-01	1.476765e-02	113	
5.087104e-02	3.862277e-02	9.100458e-01	8.662567e-01	1.566572e-02	111	
3.718756e-01	2.890151e-01	1.111460e-01	1.360429e-01	1.480645e-02	118	
3.117866e-02	3.444806e-02	5.378370e-01	5.750146e-01	1.498540e-02	115	
3.296599e-01	2.640448e-01	9.567439e-01	9.443895e-01	1.495834e-02	110	
4.680267e-01	4.297501e-01	7.859824e-01	7.572711e-01	1.734500e-02	111	
3.552911e-01	3.290269e-01	5.219760e-01	5.544468e-01	1.564771e-02	117	
3.803124e-01	3.852714e-01	4.485716e-01	3.712433e-01	1.610280e-02	108	
5.478792e-01	4.071994e-01	2.927657e-01	3.780365e-01	1.614396e-02	106	
2.511890e-01	3.316541e-01	8.087373e-01	8.264155e-01	1.322683e-02	109	
2.538026e-02	2.976678e-02	1.856506e-01	1.550817e-01	1.938669e-02	115	
9.917490e-02	9.170208e-02	3.432151e-02	2.732699e-02	1.505547e-02	116	
2.279805e-02	2.653123e-02	4.210278e-01	4.029524e-01	1.411190e-02	123	
6.602649e-01	6.024335e-01	4.789508e-02	6.048288e-02	1.794505e-02	128	
5.003694e-01	4.281302e-01	2.530339e-01	3.787001e-01	1.531671e-02	120	
2.602372e-01	2.051657e-01	9.078220e-01	9.054955e-01	1.805116e-02	129	
1.727181e-01	1.593034e-01	6.325441e-01	5.644211e-01	1.705324e-02	132	
2.931491e-02	2.630136e-02	9.600066e-01	9.346643e-01	1.690701e-02	128	
1.897856e-01	1.818503e-01	5.501457e-01	6.198695e-01	1.571101e-02	125	
3.463118e-04	3.388690e-04	6.745866e-02	3.609708e-02	2.027274e-02	129	
2.628409e-01	3.038322e-01	8.773854e-01	8.953825e-01	1.852486e-02	133	
2.957605e-01	2.783568e-01	1.462444e-01	2.130247e-01	1.487229e-02	140	
6.676491e-01	6.329014e-01	1.463834e-01	1.303889e-01	1.877023e-02	127	
1.842168e-01	2.427102e-01	6.821132e-01	6.819143e-01	1.621196e-02	123	
1.365048e-01	1.378151e-01	8.331469e-01	8.419149e-01	1.568256e-02	114	
1.439593e-01	1.105593e-01	3.053143e-01	3.565003e-01	1.652832e-02	114	
1.213435e-01	1.056568e-01	7.965622e-01	8.403165e-01	1.577745e-02	110	
7.103995e-02	6.526152e-02	3.777393e-01	5.589442e-01	1.590908e-02	114	
8.379801e-02	5.791206e-02	1.421010e-01	2.955793e-01	1.469987e-02	115	
7.911257e-02	5.214657e-02	3.152255e-01	3.921443e-01	1.635698e-02	128	
1.829281e-02	1.592172e-02	3.689483e-01	3.074543e-01	1.619572e-02	122	
2.977353e-01	3.117505e-01	7.357104e-01	8.435558e-01	1.788993e-02	132	
3.840969e-01	3.573536e-01	7.914012e-01	6.728151e-01	1.982033e-02	127	
5.464786e-01	5.653308e-01	6.752393e-01	7.770587e-01	1.723529e-02	126	
5.222858e-02	3.714561e-02	2.145824e-02	2.082736e-02	1.754881e-02	124	
2.031506e-01	2.204301e-01	7.823567e-01	7.847149e-01	1.874738e-02	126	
1.928408e-01	2.202775e-01	8.407171e-01	8.150921e-01	1.668174e-02	129	
1.515938e-01	2.114290e-01	6.626703e-01	8.122992e-01	1.924665e-02	150	
7.685824e-02	9.503047e-02	5.147200e-01	6.516373e-01	1.839942e-02	133	
3.691006e-01	3.594814e-01	2.778724e-01	1.900631e-01	1.967891e-02	133	
9.532600e-02	1.167556e-01	2.639029e-01	2.462202e-01	1.854725e-02	138	
1.180924e-01	1.476886e-01	7.199320e-01	7.577862e-01	2.095272e-02	142	
4.001009e-02	3.539680e-02	2.817778e-01	2.885386e-01	1.805442e-02	124	
1.041786e-01	1.190756e-01	4.251041e-01	2.204288e-01	1.686025e-02	124	
1.299379e-01	1.578350e-01	5.962340e-01	5.656637e-01	1.937743e-02	124	
9.383831e-02	8.102990e-02	1.901452e-01	1.973761e-01	1.644419e-02	116	
2.135981e-01	1.630647e-01	1.198643e-01	2.129941e-01	1.812686e-02	128	
3.063726e-01	2.621240e-01	1.710119e-01	2.229841e-01	1.615753e-02	125	
2.785244e-01	2.812653e-01	5.789777e-01	6.771823e-01	1.787794e-02	137	
4.383415e-01	4.607565e-01	2.723408e-01	2.428317e-01	1.797823e-02	142	
2.739540e-01	2.828856e-01	8.291720e-01	7.105449e-01	1.708632e-02	132	
5.399414e-01	4.678461e-01	2.527533e-01	2.620423e-01	2.087058e-02	141	
2.602869e-01	2.133783e-01	7.109325e-01	6.344669e-01	1.924853e-02	148	
4.213911e-01	3.585790e-01	1.785019e-01	2.900334e-01	2.085397e-02	157	
3.073929e-01	2.737935e-01	1.675231e-01	1.510071e-01	2.239334e-02	157	
6.094091e-01	6.452709e-01	2.878720e-01	2.553267e-01	2.286013e-02	154	
1.208204e-02	1.267778e-02	2.253252e-01	1.963460e-01	2.428726e-02	156	
1.635640e-01	1.330764e-01	2.452512e-01	3.356275e-01	2.361730e-02	164	
9.844428e-02	1.085325e-01	9.023529e-01	8.872689e-01	2.453878e-02	176	
4.680968e-01	4.859668e-01	6.224575e-01	6.020856e-01	2.483490e-02	177	
5.603090e-02	5.830692e-02	9.602447e-01	9.505449e-01	2.072155e-02	155	
7.076407e-02	7.924891e-02	5.392826e-04	5.448258e-04	2.141830e-02	145	
4.518574e-01	4.868322e-01	8.344046e-01	8.396089e-01	1.853685e-02	156	
5.365871e-02	5.277601e-02	5.613624e-01	6.021273e-01	1.956938e-02	139	
3.256350e-01	2.327657e-01	3.883652e-01	4.487587e-01	1.826825e-02	139	
7.252544e-03	6.779270e-03	3.310390e-03	2.857359e-03	1.863242e-02	144	
7.356524e-01	6.409423e-01	5.046723e-01	4.255389e-01	2.099276e-02	145	
5.029380e-01	4.150343e-01	5.279689e-03	7.816117e-03	2.111861e-02	141	
3.389586e-01	3.804646e-01	3.219586e-01	4.321807e-01	1.803742e-02	131	
1.978721e-01	2.113181e-01	7.105498e-01	6.980231e-01	1.652281e-02	126	
2.966175e-01	2.215690e-01	9.369087e-01	9.227857e-01	1.810881e-02	126	
6.530121e-02	1.021806e-01	2.485866e-01	2.133638e-01	1.653228e-02	128	
5.134201e-01	3.955095e-01	2.311558e-01	3.470451e-01	1.722886e-02	125	
5.131440e-02	5.318130e-02	1.427608e-01	1.059837e-01	2.051364e-02	137	
