# File Name: 2024-01-150-Bdh.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: Bridgeslab
# Instrument Serial Number: 272530351
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2024-01-15 07:14:21 PM UTC
# Run End Data/Time: 2024-01-15 09:00:56 PM UTC
# Run Duration: 106 minutes 34 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-01-15 11:58:20 PM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-01-15 11:58:47 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"41","B17","FALSE","4113","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5463849062638013","","","28.3170500600039","0.9790252692988736","28.370543614966195","0.13372421137209609","TRUE","0.2933691948703539","TRUE","3","22","82.72428894042969","","",""
"42","B18","FALSE","4109","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5358554547380048","","","25.52423815891759","0.8789722592452707","25.569029080378645","0.043091348191080694","TRUE","0.2933691948703539","TRUE","3","20","82.72428894042969","","",""
"43","B19","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","79.58997344970703","68.39598846435547","71.0825424194336","92.12724304199219"
"44","B20","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","75.56014251708984","78.35863494873047","83.73175048828125","72.20194244384766"
"45","B21","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","83.12642669677734","88.6006088256836","70.83744812011719","79.43973541259766"
"46","B22","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","82.1209716796875","66.4804458618164","87.59515380859375","70.83744812011719"
"47","B23","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","75.08273315429688","87.48342895507812","90.27638244628906","78.43427276611328"
"48","B24","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","75.64132690429688","71.17259979248047","89.60607147216797","68.37965393066406"
"49","C1","FALSE","4088","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5530703027989248","","","27.64711078121482","0.9820872972153534","27.725950579604696","0.07006746850899613","TRUE","0.2933691948703539","TRUE","3","21","82.67193603515625","","",""
"50","C2","FALSE","1749","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.530467722274561","","","27.31423975034891","0.9711774527583114","27.243717586565154","0.08267892486823412","TRUE","0.2933691948703539","TRUE","3","21","82.44747161865234","","",""
"51","C3","FALSE","4111","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5347782058156447","","","27.389119945247394","0.9489337502496087","27.306291007988026","0.0782184852044815","TRUE","0.2933691948703539","TRUE","3","22","82.55970764160156","","",""
"52","C4","FALSE","4102","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5380973244555245","","","29.24248099998455","0.9831194862894923","29.097558543785038","0.13403893097657307","TRUE","0.2933691948703539","TRUE","3","24","82.55970764160156","","",""
"53","C5","FALSE","1744","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5550753893962388","","","29.812393606597468","0.9904813387405104","29.808179981910232","0.019572437880394384","TRUE","0.2933691948703539","TRUE","3","25","82.70277404785156","","",""
"54","C6","FALSE","4090","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5274278088380582","","","28.407535232244953","0.9724400316783952","28.339429736341298","0.16672756148820972","TRUE","0.2933691948703539","TRUE","3","22","82.59039306640625","","",""
"55","C7","FALSE","4088","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5536676432854224","","","27.749633109712867","0.984511873693685","27.725950579604696","0.07006746850899613","TRUE","0.2933691948703539","TRUE","3","22","82.70277404785156","","",""
"56","C8","FALSE","1749","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5433562553183209","","","27.152727042726994","0.9805496325868538","27.243717586565154","0.08267892486823412","TRUE","0.2933691948703539","TRUE","3","21","82.70277404785156","","",""
"57","C9","FALSE","4111","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5481596124485895","","","27.296063985421036","0.9509641593464768","27.306291007988026","0.0782184852044815","TRUE","0.2933691948703539","TRUE","3","22","82.80122375488281","","",""
"58","C10","FALSE","4102","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5489239366695797","","","29.072156281720787","0.9812220319536388","29.097558543785038","0.13403893097657307","TRUE","0.2933691948703539","TRUE","3","23","82.80122375488281","","",""
